condition,condition_subtype,group
BD55-659,class 4,F2
BD55-6626,class 4,F3
BD55-6637,class 3,E2.2
BD55-6638,class 4,F3
BD55-6642,class 4,F2
BD55-6647,class 4,F2
BD55-6651,class 4,F3
BD55-676,class 4,F2
BD55-688,class 4,F2
BD55-711,class 4,F2
BD55-746,class 4,F1
BD55-747,class 4,F2
BD55-749,class 3,E3
BD55-751,class 3,E3
BD55-822,class 4,F2
BD55-885,class 4,F2
BD55-948,class 4,F2
BD56-887,class 1,B
BG1-24,class 1,B
BG10-19,class 2,E1
BG10-19,class 3,E1
BG4-25,class 1,A
BG7-15,class 3,D2
BG7-20,class 2,A
BG7-20,class 1,A
BRII-196,class 1,A
C002,class 2,C
C048,class 4,F2
C058,class 2,C
C083,class 1,C
C083,class 2,C
C085,class 2,C
C091,class 3,E2.2
C093,class 1,A
C102,class 1,A
C105,class 1,A
C110,class 3,D1
C119,class 3,D1
C121,class 2,C
C135,class 1,A
C135,class 3,A
C144,class 2,C
C1A-B12,class 1,A
C1A-B3,class 1,A
C1A-C2,class 1,A
C1A-F10,class 1,A
C516,class 2,C
C556,class 3,E2.1
C576,class 3,E1
C578,class 1,A
C581,class 3,E2.2
C591,class 2,C
C594,class 4,F2
C597,class 1,B
CC12.1,class 1,A
CC12.3,class 1,A
CM32,class 2,C
COV2-2015,class 4,F2
COV2-2037,class 1,A
COV2-2046,class 1,B
COV2-2064,class 2,C
COV2-2068,class 1,A
COV2-2072,class 1,B
COV2-2098,class 1,A
COV2-2103,class 4,F2
COV2-2113,class 1,A
COV2-2130,class 3,D1
COV2-2196,class 1,B
COV2-2258,class 4,F2
COV2-2268,class 3,D2
COV2-2308,class 1,A
COV2-2353,class 2,C
COV2-2381,class 1,B
COV2-2389,class 3,E2.1
COV2-2391,class 2,C
COV2-2479,class 2,C
COV2-2485,class 3,E2.2
COV2-2499,class 3,D2
COV2-2504,class 2,C
COV2-2514,class 4,F2
COV2-2531,class 4,F2
COV2-2539,class 2,C
COV2-2589,class 1,A
COV2-2677,class 4,F2
COV2-2678,class 4,F2
COV2-2684,class 1,B
COV2-2693,class 3,D1
COV2-2780,class 3,D1
COV2-2807,class 1,A
COV2-2819,class 2,C
COV2-2828,class 4,F2
COV2-2841,class 4,F2
COV2-2919,class 1,A
COV2-2941,class 1,B
COV2-2955,class 2,C
COV2-3025,class 1,B
COVA1-16,class 4,E3
COVA1-16,class 3,E3
COVA2-04,class 1,A
COVA2-39,class 2,B
COVA2-39,class 1,B
COVOX-150,class 1,A
COVOX-222,class 1,A
COVOX-253H165L,class 1,B
COVOX-253H55L,class 1,B
COVOX-269,class 1,A
COVOX-316,class 2,C
COVOX-384,class 2,C
COVOX-40,class 1,A
COVOX-75,class 3,D1
COVOX-88,class 1,A
CV-X2-106,class 1,B
CV05-163,class 2,A
CV05-163,class 1,A
CV07-200,class 2,C
CV07-209,class 1,B
CV07-222,class 2,C
CV07-250,class 1,A
CV07-255,class 2,C
CV07-262,class 2,C
CV07-270,class 3,D1
CV07-283,class 2,C
CV07-287,class 1,B
CV07-315,class 2,C
CV30,class 1,A
CV38-142,class 3,E1
DH1041,class 2,C
DH1042,class 2,C
DH1043,class 2,C
DH1044,class 3,D1
DH1045,class 4,F2
DH1046,class 4,F2
DH1047,class 4,F2
DH1072,class 3,E3
DH1073,class 4,F2
DH1082,class 2,C
DH1111,class 2,C
